nt n field kernel bw
32 36 Gauge-SU3 su3Xsu3_h_shift_xyz 993.6981
32 36 Gauge-SU3 su3Xsu3_h_shift_xyt 993.5620
32 36 Gauge-SU3 su3Xsu3_h_shift_xzt 995.6821
32 36 Gauge-SU3 su3Xsu3_h_shift_yzt 998.2643
32 36 Gauge-SU3 su3Xsu3_h_shift_xyzt 994.2904
32 40 4D-complex axpy 807.0061
32 40 4D-complex axpy_h_no_offset 805.1106
32 40 4D-complex axpy_h_offset_x 750.1145
32 40 4D-complex axpy_h_offset_y 802.0286
32 40 4D-complex axpy_h_offset_z 802.3428
32 40 4D-complex axpy_h_offset_t 806.5294
32 40 4D-complex axpy_h_offset_xy 750.8639
32 40 4D-complex axpy_h_offset_xz 756.1311
32 40 4D-complex axpy_h_offset_xt 750.1076
32 40 4D-complex axpy_h_offset_yz 800.6959
32 40 4D-complex axpy_h_offset_yt 804.4702
32 40 4D-complex axpy_h_offset_zt 798.0516
32 40 4D-complex axpy_h_offset_xyz 742.8364
32 40 4D-complex axpy_h_offset_xyt 748.3260
32 40 4D-complex axpy_h_offset_xzt 745.8732
32 40 4D-complex axpy_h_offset_yzt 800.4612
32 40 4D-complex axpy_h_offset_xyzt 745.6017
32 40 Gauge-SU3 su3Xsu3 989.3864
32 40 Gauge-SU3 su3Xsu3_h_no_shift 990.4253
32 40 Gauge-SU3 su3Xsu3_h_shift_x 987.4098
32 40 Gauge-SU3 su3Xsu3_h_shift_y 991.5439
32 40 Gauge-SU3 su3Xsu3_h_shift_z 992.4250
32 40 Gauge-SU3 su3Xsu3_h_shift_t 993.5998
32 40 Gauge-SU3 su3Xsu3_h_shift_xy 987.3082
32 40 Gauge-SU3 su3Xsu3_h_shift_xz 989.6918
32 40 Gauge-SU3 su3Xsu3_h_shift_xt 987.9987
32 40 Gauge-SU3 su3Xsu3_h_shift_yz 991.0776
32 40 Gauge-SU3 su3Xsu3_h_shift_yt 993.1581
32 40 Gauge-SU3 su3Xsu3_h_shift_zt 990.7316
32 40 Gauge-SU3 su3Xsu3_h_shift_xyz 987.8023
32 40 Gauge-SU3 su3Xsu3_h_shift_xyt 988.9794
32 40 Gauge-SU3 su3Xsu3_h_shift_xzt 989.3620
32 40 Gauge-SU3 su3Xsu3_h_shift_yzt 991.0510
32 40 Gauge-SU3 su3Xsu3_h_shift_xyzt 989.2027
32 44 4D-complex axpy 812.8597
32 44 4D-complex axpy_h_no_offset 808.3128
32 44 4D-complex axpy_h_offset_x 785.3990
32 44 4D-complex axpy_h_offset_y 806.3619
32 44 4D-complex axpy_h_offset_z 803.5473
32 44 4D-complex axpy_h_offset_t 807.1759
32 44 4D-complex axpy_h_offset_xy 779.1743
32 44 4D-complex axpy_h_offset_xz 783.0915
32 44 4D-complex axpy_h_offset_xt 782.9892
32 44 4D-complex axpy_h_offset_yz 804.5229
32 44 4D-complex axpy_h_offset_yt 805.6036
32 44 4D-complex axpy_h_offset_zt 806.7904
32 44 4D-complex axpy_h_offset_xyz 786.2743
32 44 4D-complex axpy_h_offset_xyt 781.1534
32 44 4D-complex axpy_h_offset_xzt 785.0906
32 44 4D-complex axpy_h_offset_yzt 813.5820
32 44 4D-complex axpy_h_offset_xyzt 779.2198
32 44 Gauge-SU3 su3Xsu3 954.1674
32 44 Gauge-SU3 su3Xsu3_h_no_shift 959.2990
32 44 Gauge-SU3 su3Xsu3_h_shift_x 954.5780
32 44 Gauge-SU3 su3Xsu3_h_shift_y 956.9758
32 44 Gauge-SU3 su3Xsu3_h_shift_z 957.6083
32 44 Gauge-SU3 su3Xsu3_h_shift_t 956.9023
32 44 Gauge-SU3 su3Xsu3_h_shift_xy 954.3938
32 44 Gauge-SU3 su3Xsu3_h_shift_xz 953.5423
32 44 Gauge-SU3 su3Xsu3_h_shift_xt 953.9847
32 44 Gauge-SU3 su3Xsu3_h_shift_yz 956.8245
32 44 Gauge-SU3 su3Xsu3_h_shift_yt 956.7327
32 44 Gauge-SU3 su3Xsu3_h_shift_zt 956.4812
32 44 Gauge-SU3 su3Xsu3_h_shift_xyz 956.4065
32 44 Gauge-SU3 su3Xsu3_h_shift_xyt 953.3809
32 44 Gauge-SU3 su3Xsu3_h_shift_xzt 954.7610
32 44 Gauge-SU3 su3Xsu3_h_shift_yzt 957.1710
32 44 Gauge-SU3 su3Xsu3_h_shift_xyzt 953.4790
32 48 4D-complex axpy 859.7408
32 48 4D-complex axpy_h_no_offset 856.5761
32 48 4D-complex axpy_h_offset_x 815.6911
32 48 4D-complex axpy_h_offset_y 856.2350
32 48 4D-complex axpy_h_offset_z 856.3213
32 48 4D-complex axpy_h_offset_t 857.4408
32 48 4D-complex axpy_h_offset_xy 810.1669
32 48 4D-complex axpy_h_offset_xz 810.0124
32 48 4D-complex axpy_h_offset_xt 820.0226
32 48 4D-complex axpy_h_offset_yz 854.5121
32 48 4D-complex axpy_h_offset_yt 854.5938
32 48 4D-complex axpy_h_offset_zt 853.5246
32 48 4D-complex axpy_h_offset_xyz 808.2818
32 48 4D-complex axpy_h_offset_xyt 809.4373
32 48 4D-complex axpy_h_offset_xzt 810.2442
32 48 4D-complex axpy_h_offset_yzt 853.4388
32 48 4D-complex axpy_h_offset_xyzt 811.8357
32 48 Gauge-SU3 su3Xsu3 921.5132
32 48 Gauge-SU3 su3Xsu3_h_no_shift 925.3571
32 48 Gauge-SU3 su3Xsu3_h_shift_x 922.6671
32 48 Gauge-SU3 su3Xsu3_h_shift_y 924.5634
32 48 Gauge-SU3 su3Xsu3_h_shift_z 926.6752
32 48 Gauge-SU3 su3Xsu3_h_shift_t 923.7338
32 48 Gauge-SU3 su3Xsu3_h_shift_xy 921.2170
32 48 Gauge-SU3 su3Xsu3_h_shift_xz 923.3777
32 48 Gauge-SU3 su3Xsu3_h_shift_xt 921.4605
32 48 Gauge-SU3 su3Xsu3_h_shift_yz 924.8179
32 48 Gauge-SU3 su3Xsu3_h_shift_yt 924.7629
32 48 Gauge-SU3 su3Xsu3_h_shift_zt 925.4047
